Divide /
Modulo %
Subtract -
BitwiseLeftShift <<
BitwiseRightShift >>
LessThan <
GreaterThan >
LessThanOrEqualTo <=
GreaterThanOrEqualTo >=
IsEqualTo ==
InNotEqualTo !=
BitwiseAnd &
ConditionalAnd &&
BitwiseOr |
ConditionalOr ||
BitwiseXor ^
Assignment =
AdditionAssignment +=
SubtractionAssignment -=
MultiplicationAssignment *=
DivisionAssignment /=
ModuloAssignment %=
BitwiseAndAssignment &=
BitwiseOrAssignment |=
BitwiseXorAssignment ^=
BitwiseLeftShiftAssignment <<=
BitwiseRightShiftAssignment >>=
